Link Name1,Start,End,Duration,Handoff
3_0/3_0_0 to AllUsers/Transmitter1,48211,48324,113,False
4_2/4_2_0 to AllUsers/Transmitter1,48711,48735,24,False
4_2/4_2_0 to AllUsers/Transmitter1,48804,48846,42,False
2_1/2_1_0 to AllUsers/Transmitter1,49821,49951,130,False
2_1/2_1_0 to AllUsers/Transmitter1,50265,50390,125,False
0_0/0_0_0 to AllUsers/Transmitter1,51119,51254,135,False
0_0/0_0_0 to AllUsers/Transmitter1,51572,51690,118,False
6_1/6_1_0 to AllUsers/Transmitter1,52652,52690,38,False
6_1/6_1_0 to AllUsers/Transmitter1,52808,52838,30,False
7_0/7_0_0 to AllUsers/Transmitter1,53211,53286,75,False
7_0/7_0_0 to AllUsers/Transmitter1,53301,53391,90,False
7_0/7_0_0 to AllUsers/Transmitter1,53604,53661,57,False
7_0/7_0_0 to AllUsers/Transmitter1,53689,53795,106,False
5_2/5_2_0 to AllUsers/Transmitter1,54553,54664,111,False
5_2/5_2_0 to AllUsers/Transmitter1,54990,55007,17,False
3_1/3_1_0 to AllUsers/Transmitter1,56033,56107,74,False
3_1/3_1_0 to AllUsers/Transmitter1,56171,56245,74,False
4_0/4_0_0 to AllUsers/Transmitter1,56669,56838,169,False
4_0/4_0_0 to AllUsers/Transmitter1,56851,56896,45,False
4_0/4_0_0 to AllUsers/Transmitter1,56921,56969,48,False
4_0/4_0_0 to AllUsers/Transmitter1,57000,57093,93,False
2_2/2_2_0 to AllUsers/Transmitter1,58182,58236,54,False
2_2/2_2_0 to AllUsers/Transmitter1,58396,58517,121,False
0_1/0_1_0 to AllUsers/Transmitter1,59309,59388,79,False
0_1/0_1_0 to AllUsers/Transmitter1,59425,59505,80,False
0_1/0_1_0 to AllUsers/Transmitter1,59548,59631,83,False
0_1/0_1_0 to AllUsers/Transmitter1,59686,59732,46,False
1_0/1_0_0 to AllUsers/Transmitter1,60053,60118,65,False
1_0/1_0_0 to AllUsers/Transmitter1,60135,60222,87,False
1_0/1_0_0 to AllUsers/Transmitter1,60223,60297,74,False
1_0/1_0_0 to AllUsers/Transmitter1,60302,60378,76,False
1_0/1_0_0 to AllUsers/Transmitter1,60409,60499,90,False
7_1/7_1_0 to AllUsers/Transmitter1,61283,61435,152,False
7_1/7_1_0 to AllUsers/Transmitter1,61562,61639,77,False
7_1/7_1_0 to AllUsers/Transmitter1,61768,61917,149,False
5_0/5_0_0 to AllUsers/Transmitter1,62715,62811,96,False
5_0/5_0_0 to AllUsers/Transmitter1,62833,62900,67,False
5_0/5_0_0 to AllUsers/Transmitter1,62941,63012,71,False
5_0/5_0_0 to AllUsers/Transmitter1,63036,63128,92,False
6_2/6_2_0 to AllUsers/Transmitter1,63521,63595,74,False
6_2/6_2_0 to AllUsers/Transmitter1,63610,63689,79,False
6_2/6_2_0 to AllUsers/Transmitter1,63699,63779,80,False
6_2/6_2_0 to AllUsers/Transmitter1,63843,63888,45,False
4_1/4_1_0 to AllUsers/Transmitter1,64696,64791,95,False
